timestamp,device_id,latitude,longitude,speed,direction,signal_strength,is_fragmented
2024-01-03 12:01,dev3,,,64,150,-82,1
2024-01-03 12:02,dev3,19.0915,72.9000,65,155,-75,0
2024-01-03 12:03,dev3,19.0920,72.9015,66,160,-73,0
2024-01-03 12:04,dev3,,,67,165,-85,1
2024-01-03 12:05,dev3,19.0935,72.9030,68,170,-72,0
2024-01-03 12:06,dev3,19.0940,72.9045,69,175,-70,0
2024-01-03 12:07,dev3,,,70,180,-88,1
2024-01-03 12:08,dev3,19.0955,72.9060,71,185,-74,0
2024-01-03 12:09,dev3,19.0960,72.9075,72,190,-69,0
2024-01-03 12:09,dev3,19.0960,72.9075,72,190,-69,0
